run_dir,run_label,seed_id,model,max_prompts,max_new_tokens,uckv2_lambda,uckv2_beta,uckv2_evict_every,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,abstain_steps,avg_prefill_s,avg_decode_s,decode_tokens_per_s,peak_cache_bytes,avg_cache_bytes,cuda_peak_delta_bytes,avg_selector_elapsed_s,avg_selector_decode_fraction,avg_eviction_count,avg_entropy_gate,family,budget
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,full,kv_retrieval,48,0.9583333333333334,285.4375,0,0,0.1965056136868952,3.0968981804799114,7.777464075630646,19169280,13199040.0,0,,,,,Full KV,
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,h2o_hh_128,kv_retrieval,48,0.5208333333333334,128.0,0,0,0.1714370320623857,3.445182974771645,7.020590156503819,18109440,5898240.0,0,,,24.0,,H2O,128.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,h2o_hh_192,kv_retrieval,48,0.6458333333333334,187.66666666666663,0,0,0.1882720693538431,3.3890967969370345,7.1373306409503074,18109440,8647680.0,0,,,24.0,,H2O,192.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,h2o_hh_256,kv_retrieval,48,0.6875,233.84548611111111,0,0,0.1763312612289761,3.334948998291111,7.253678539904247,18109440,10775600.0,0,,,24.0,,H2O,256.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,h2o_hh_96,kv_retrieval,48,0.5208333333333334,96.0,0,0,0.1738870251450256,3.531448724019962,6.846869418363734,18109440,4423680.0,0,,,24.0,,H2O,96.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_128,kv_retrieval,48,0.5833333333333334,133.875,0,0,0.1697594209999806,3.246401317771415,7.424783623136226,18109440,6168960.0,0,0.1337044513432677,0.0410920703116221,2.0,0.340817981485134,UCKV2,128.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_192,kv_retrieval,48,0.6458333333333334,192.07291666666663,0,0,0.1597128385404479,3.28266973350037,7.3588913957692865,18109440,8850720.0,0,0.1587984968564342,0.0478685249831371,2.0,0.3101235617036583,UCKV2,192.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_256,kv_retrieval,48,0.875,236.96354166666663,0,0,0.1667228871037878,3.3125598367514613,7.303477365286036,18109440,10919280.0,0,0.1964790503379845,0.0572497571212903,2.0,0.2987112803847795,UCKV2,256.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_96,kv_retrieval,48,0.4791666666666667,101.875,0,0,0.3230676987917225,3.285912800311962,7.354904125750468,18109440,4694400.0,0,0.1542382951826463,0.0466477168653236,2.0,0.3496887363051602,UCKV2,96.0
outputs/experiments/20260711_143603_282105_uckv2_l1_seed43_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed43_b96_256,43,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,full,kv_retrieval,48,0.9375,286.0833333333333,0,0,0.1971879427286088,3.237243692687722,7.478079235278796,19261440,13228800.0,0,,,,,Full KV,
